,location,lat,lng
127,"Zhengchang, Suiyang County, Guizhou Province",27.023358,106.846377
128,"Grand Canyon, Arizona",36.045841,-112.154076
129,"Argunovo, Russia",55.422173,38.448788
130,"Kohangan village, Iran",32.687281,51.677288
131,"Latakia, Syria",35.534394,35.792713
132,"New York, New York",40.713012,-74.00713
133,"Kathmandu, Nepal",27.707847,85.314331
134,"Plaridel, Philippines",14.887317,120.867814
135,"Boufarik AB, Algeria",36.575005,2.90669
136,"NW of Philadelphia, Pennsylvania",39.953348,-75.163353
137,"Port Wentworth, Georgia",32.146671,-81.161143
138,"Havana, Cuba",23.083042,-82.3937
139,"Near Njabini, Kenya",-0.726745,36.652451
140,"Pretoria, South Africa",-25.745477,28.185425
141,"Flims, Switzerland",46.836557,9.284482
142,"Chuuk, Micronesia",7.45757,151.84191
143,"Off Jakarta, Indonesia",-6.174756,106.827073
144,"Georgetown, Guyana",6.80944,-58.16467
